poll_info,year,state,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,days_to_election,poll_key,candidate,pct,party_group
2012-west-virginia-president-romney-vs-obama,2012,west-virginia,14852,R.L. Repass & Partners,2012-08-22,2012-08-25,Likely Voters,401,Mixed,Nonpartisan,None,73,2012_14852_west-virginia,Romney,52,Republican
2012-west-virginia-president-romney-vs-obama,2012,west-virginia,14852,R.L. Repass & Partners,2012-08-22,2012-08-25,Likely Voters,401,Mixed,Nonpartisan,None,73,2012_14852_west-virginia,Undecided,10,Undecided
2012-west-virginia-president-romney-vs-obama,2012,west-virginia,14852,R.L. Repass & Partners,2012-08-22,2012-08-25,Likely Voters,401,Mixed,Nonpartisan,None,73,2012_14852_west-virginia,Other,NA,Other
2012-west-virginia-president-romney-vs-obama,2012,west-virginia,14877,R.L. Repass & Partners,2012-04-25,2012-04-28,Likely Voters,410,Live Phone/Online,Nonpartisan,None,192,2012_14877_west-virginia,Obama,37,Democrat
2012-west-virginia-president-romney-vs-obama,2012,west-virginia,14877,R.L. Repass & Partners,2012-04-25,2012-04-28,Likely Voters,410,Live Phone/Online,Nonpartisan,None,192,2012_14877_west-virginia,Romney,54,Republican
2012-west-virginia-president-romney-vs-obama,2012,west-virginia,14877,R.L. Repass & Partners,2012-04-25,2012-04-28,Likely Voters,410,Live Phone/Online,Nonpartisan,None,192,2012_14877_west-virginia,Undecided,10,Undecided
2012-west-virginia-president-romney-vs-obama,2012,west-virginia,14877,R.L. Repass & Partners,2012-04-25,2012-04-28,Likely Voters,410,Live Phone/Online,Nonpartisan,None,192,2012_14877_west-virginia,Other,NA,Other
2012-alabama-president-romney-vs-obama,2012,alabama,14263,Capital Survey Research Center,2012-06-07,2012-06-27,Likely Voters,551,Live Phone,Nonpartisan,None,132,2012_14263_alabama,Obama,36,Democrat
2012-alabama-president-romney-vs-obama,2012,alabama,14263,Capital Survey Research Center,2012-06-07,2012-06-27,Likely Voters,551,Live Phone,Nonpartisan,None,132,2012_14263_alabama,Romney,51,Republican
2012-alabama-president-romney-vs-obama,2012,alabama,14263,Capital Survey Research Center,2012-06-07,2012-06-27,Likely Voters,551,Live Phone,Nonpartisan,None,132,2012_14263_alabama,Undecided,NA,Undecided
2012-alabama-president-romney-vs-obama,2012,alabama,14263,Capital Survey Research Center,2012-06-07,2012-06-27,Likely Voters,551,Live Phone,Nonpartisan,None,132,2012_14263_alabama,Other,NA,Other
2012-utah-president-romney-vs-obama,2012,utah,16509,Dan Jones & Associates,2012-10-26,2012-11-01,Registered Voters,870,Live Phone,Nonpartisan,None,5,2012_16509_utah,Obama,26,Democrat
2012-utah-president-romney-vs-obama,2012,utah,16509,Dan Jones & Associates,2012-10-26,2012-11-01,Registered Voters,870,Live Phone,Nonpartisan,None,5,2012_16509_utah,Romney,69,Republican
2012-utah-president-romney-vs-obama,2012,utah,16509,Dan Jones & Associates,2012-10-26,2012-11-01,Registered Voters,870,Live Phone,Nonpartisan,None,5,2012_16509_utah,Undecided,NA,Undecided
2012-utah-president-romney-vs-obama,2012,utah,16509,Dan Jones & Associates,2012-10-26,2012-11-01,Registered Voters,870,Live Phone,Nonpartisan,None,5,2012_16509_utah,Other,NA,Other
2012-utah-president-romney-vs-obama,2012,utah,16630,Mason-Dixon/The Salt Lake Tribune,2012-10-29,2012-10-31,Registered Voters,625,Live Phone,Nonpartisan,None,6,2012_16630_utah,Obama,25,Democrat
2012-utah-president-romney-vs-obama,2012,utah,16630,Mason-Dixon/The Salt Lake Tribune,2012-10-29,2012-10-31,Registered Voters,625,Live Phone,Nonpartisan,None,6,2012_16630_utah,Romney,70,Republican
2012-utah-president-romney-vs-obama,2012,utah,16630,Mason-Dixon/The Salt Lake Tribune,2012-10-29,2012-10-31,Registered Voters,625,Live Phone,Nonpartisan,None,6,2012_16630_utah,Undecided,3,Undecided
2012-utah-president-romney-vs-obama,2012,utah,16630,Mason-Dixon/The Salt Lake Tribune,2012-10-29,2012-10-31,Registered Voters,625,Live Phone,Nonpartisan,None,6,2012_16630_utah,Other,2,Other
2012-utah-president-romney-vs-obama,2012,utah,16144,Key/BYU,2012-10-09,2012-10-13,Likely Voters,500,Live Phone,Nonpartisan,None,24,2012_16144_utah,Obama,20,Democrat
2012-utah-president-romney-vs-obama,2012,utah,16144,Key/BYU,2012-10-09,2012-10-13,Likely Voters,500,Live Phone,Nonpartisan,None,24,2012_16144_utah,Romney,71,Republican
2012-utah-president-romney-vs-obama,2012,utah,16144,Key/BYU,2012-10-09,2012-10-13,Likely Voters,500,Live Phone,Nonpartisan,None,24,2012_16144_utah,Undecided,9,Undecided
2012-utah-president-romney-vs-obama,2012,utah,16144,Key/BYU,2012-10-09,2012-10-13,Likely Voters,500,Live Phone,Nonpartisan,None,24,2012_16144_utah,Other,NA,Other
2012-utah-president-romney-vs-obama,2012,utah,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,None,138,2012_14175_utah,Obama,26,Democrat
2012-utah-president-romney-vs-obama,2012,utah,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,None,138,2012_14175_utah,Romney,68,Republican
2012-utah-president-romney-vs-obama,2012,utah,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,None,138,2012_14175_utah,Undecided,2,Undecided
2012-utah-president-romney-vs-obama,2012,utah,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,None,138,2012_14175_utah,Other,4,Other
2012-utah-president-romney-vs-obama,2012,utah,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,485,2012_15024_utah,Obama,31,Democrat
2012-utah-president-romney-vs-obama,2012,utah,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,485,2012_15024_utah,Romney,63,Republican
2012-utah-president-romney-vs-obama,2012,utah,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,485,2012_15024_utah,Undecided,6,Undecided
2012-utah-president-romney-vs-obama,2012,utah,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,485,2012_15024_utah,Other,NA,Other
2012-maryland-president-romney-vs-obama,2012,maryland,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,None,3,2012_16577_maryland,Obama,59,Democrat
2012-maryland-president-romney-vs-obama,2012,maryland,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,None,3,2012_16577_maryland,Romney,37,Republican
2012-maryland-president-romney-vs-obama,2012,maryland,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,None,3,2012_16577_maryland,Undecided,2,Undecided
2012-maryland-president-romney-vs-obama,2012,maryland,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,None,3,2012_16577_maryland,Other,2,Other
2012-maryland-president-romney-vs-obama,2012,maryland,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,None,14,2012_16429_maryland,Obama,55,Democrat
