poll_info,year,state,Obama,Romney,Undecided,Other,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,days_to_election,poll_key
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,36,51,7,6,14336,Rasmussen,2012-07-10,2012-07-11,Likely Voters,400,Automated Phone,Nonpartisan,None,118,2012_14336_north-dakota
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,39,52,NA,NA,14040,Mason-Dixon,2012-06-04,2012-06-06,Likely Voters,625,Live Phone,Nonpartisan,None,153,2012_14040_north-dakota
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,32,51,NA,NA,13664,DFM Research (D-DSCC),2012-04-18,2012-04-26,Registered Voters,478,Live Phone,Sponsor,Dem,194,2012_13664_north-dakota
2012-washington-president-romney-vs-obama,2012,washington,53,46,1,NA,16521,PPP (D),2012-11-01,2012-11-03,Likely Voters,932,Automated Phone,Pollster,Dem,3,2012_16521_washington
2012-washington-president-romney-vs-obama,2012,washington,54,40,2,NA,16583,YouGov,2012-10-31,2012-11-03,Likely Voters,837,Internet,Nonpartisan,None,3,2012_16583_washington
2012-washington-president-romney-vs-obama,2012,washington,54,40,NA,NA,16415,SurveyUSA,2012-10-28,2012-10-31,Likely Voters,555,Mixed,Nonpartisan,None,6,2012_16415_washington
2012-washington-president-romney-vs-obama,2012,washington,57,36,4,NA,16435,University of Washington/KCTS9,2012-10-18,2012-10-31,Likely Voters,632,Live Phone,Nonpartisan,None,6,2012_16435_washington
2012-washington-president-romney-vs-obama,2012,washington,52,39,5,NA,16051,Strategies 360 (D),2012-10-17,2012-10-20,Likely Voters,500,Live Phone,Nonpartisan,None,17,2012_16051_washington
2012-washington-president-romney-vs-obama,2012,washington,50,45,4,NA,15913,PPP (D-Washington Conservation Voters),2012-10-15,2012-10-16,Likely Voters,574,Automated Phone,Sponsor,Dem,21,2012_15913_washington
2012-washington-president-romney-vs-obama,2012,washington,52,43,3,NA,15936,University of Washington/KCTS9,2012-10-01,2012-10-16,Likely Voters,644,Live Phone,Nonpartisan,None,21,2012_15936_washington
2012-washington-president-romney-vs-obama,2012,washington,55,42,1,NA,15884,Rasmussen,2012-10-14,2012-10-14,Likely Voters,500,Automated Phone,Nonpartisan,None,23,2012_15884_washington
2012-washington-president-romney-vs-obama,2012,washington,54,40,3,NA,15834,SurveyUSA,2012-10-12,2012-10-14,Likely Voters,543,IVR/Online,Nonpartisan,None,23,2012_15834_washington
2012-washington-president-romney-vs-obama,2012,washington,56,39,3,NA,15847,YouGov,2012-10-04,2012-10-11,Likely Voters,747,Internet,Nonpartisan,None,26,2012_15847_washington
2012-washington-president-romney-vs-obama,2012,washington,56,36,3,NA,15506,SurveyUSA,2012-09-28,2012-09-30,Likely Voters,540,IVR/Online,Nonpartisan,None,37,2012_15506_washington
2012-washington-president-romney-vs-obama,2012,washington,52,41,4,NA,15412,Rasmussen,2012-09-26,2012-09-26,Likely Voters,500,Automated Phone,Nonpartisan,None,41,2012_15412_washington
2012-washington-president-romney-vs-obama,2012,washington,56,39,5,NA,15356,Gravis Marketing,2012-09-21,2012-09-22,Likely Voters,625,Automated Phone,Nonpartisan,None,45,2012_15356_washington
2012-washington-president-romney-vs-obama,2012,washington,53,39,3,NA,15212,YouGov,2012-09-07,2012-09-14,Likely Voters,880,Internet,Nonpartisan,None,53,2012_15212_washington
2012-washington-president-romney-vs-obama,2012,washington,53,36,NA,NA,15051,Elway,2012-09-09,2012-09-12,Registered Voters,405,Live Phone,Nonpartisan,None,55,2012_15051_washington
2012-washington-president-romney-vs-obama,2012,washington,54,38,4,NA,14955,SurveyUSA,2012-09-07,2012-09-09,Likely Voters,524,IVR/Online,Nonpartisan,None,58,2012_14955_washington
2012-washington-president-romney-vs-obama,2012,washington,46,36,17,NA,15428,Moore Information (R),2012-08-06,2012-08-07,Likely Voters,500,Live Phone,Pollster,Rep,91,2012_15428_washington
2012-washington-president-romney-vs-obama,2012,washington,54,37,5,NA,14569,SurveyUSA,2012-08-01,2012-08-02,Likely Voters,524,IVR/Online,Nonpartisan,None,96,2012_14569_washington
2012-washington-president-romney-vs-obama,2012,washington,46,37,NA,NA,14404,SurveyUSA,2012-07-16,2012-07-18,Registered Voters,630,IVR/Online,Nonpartisan,None,111,2012_14404_washington
2012-washington-president-romney-vs-obama,2012,washington,54,41,5,NA,14134,PPP (D),2012-06-14,2012-06-17,Likely Voters,1073,Automated Phone,Pollster,Dem,142,2012_14134_washington
2012-washington-president-romney-vs-obama,2012,washington,49,41,NA,NA,14123,Elway,2012-06-13,2012-06-16,Registered Voters,408,Live Phone,Nonpartisan,None,143,2012_14123_washington
2012-washington-president-romney-vs-obama,2012,washington,50,36,14,NA,13766,SurveyUSA,2012-05-08,2012-05-09,Registered Voters,557,IVR/Online,Nonpartisan,None,181,2012_13766_washington
2012-washington-president-romney-vs-obama,2012,washington,53,38,9,NA,13025,PPP (D),2012-02-16,2012-02-19,Likely Voters,1264,Automated Phone,Pollster,Dem,261,2012_13025_washington
2012-washington-president-romney-vs-obama,2012,washington,50,39,11,NA,13459,SurveyUSA,2012-02-13,2012-02-15,Registered Voters,572,IVR/Online,Nonpartisan,None,265,2012_13459_washington
2012-washington-president-romney-vs-obama,2012,washington,49,38,12,NA,13155,Elway,2012-02-07,2012-02-09,Likely Voters,405,Live Phone,Nonpartisan,None,271,2012_13155_washington
2012-washington-president-romney-vs-obama,2012,washington,50,39,11,NA,13154,SurveyUSA,2012-01-12,2012-01-16,Likely Voters,572,IVR/Online,Nonpartisan,None,295,2012_13154_washington
2012-vermont-president-romney-vs-obama,2012,vermont,62,25,7,1,14755,Castleton State College,2012-08-11,2012-08-21,Likely Voters,477,Automated Phone,Nonpartisan,None,77,2012_14755_vermont
2012-vermont-president-romney-vs-obama,2012,vermont,58,33,NA,6,13458,Castleton State College,2012-02-11,2012-02-22,Registered Voters,664,Automated Phone,Nonpartisan,None,258,2012_13458_vermont
2012-texas-president-romney-vs-obama,2012,texas,38,57,2,3,16596,YouGov,2012-10-31,2012-11-03,Likely Voters,1563,Internet,Nonpartisan,None,3,2012_16596_texas
2012-texas-president-romney-vs-obama,2012,texas,39,55,NA,6,16331,YouGov/U of Texas/Texas Tribune,2012-10-15,2012-10-21,Likely Voters,540,Internet,Nonpartisan,None,16,2012_16331_texas
2012-texas-president-romney-vs-obama,2012,texas,41,55,2,2,15872,YouGov,2012-10-04,2012-10-11,Likely Voters,957,Internet,Nonpartisan,None,26,2012_15872_texas
2012-texas-president-romney-vs-obama,2012,texas,39,58,4,NA,15488,Texas Lyceum,2012-09-10,2012-09-26,Likely Voters,443,Live Phone,Nonpartisan,None,41,2012_15488_texas
2012-texas-president-romney-vs-obama,2012,texas,41,53,2,4,15231,YouGov,2012-09-07,2012-09-14,Likely Voters,1165,Internet,Nonpartisan,None,53,2012_15231_texas
2012-texas-president-romney-vs-obama,2012,texas,40,55,3,2,14990,Wilson Perkins Allen Opinion Research (R),2012-09-09,2012-09-11,Likely Voters,1000,Live Phone,Pollster,Rep,56,2012_14990_texas
