poll_info,Obama,Romney,Undecided,Other,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation
2012-oregon-president-romney-vs-obama,50,39,11,Not included in poll,13294,SurveyUSA,2012-03-14,2012-03-19,Likely Voters,1615,IVR/Online,Nonpartisan,None
2012-new-york-president-romney-vs-obama,59,36,3,2,16579,YouGov,2012-10-31,2012-11-03,Likely Voters,1430,Internet,Nonpartisan,None
2012-new-york-president-romney-vs-obama,62,33,2,4,16219,SurveyUSA,2012-10-23,2012-10-25,Likely Voters,554,IVR/Online,Nonpartisan,None
2012-new-york-president-romney-vs-obama,59,35,6,Not included in poll,16188,Siena,2012-10-22,2012-10-24,Likely Voters,750,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,61,35,3,1,16137,Marist,2012-10-18,2012-10-21,Likely Voters,565,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,59,35,4,2,15856,YouGov,2012-10-04,2012-10-11,Likely Voters,1403,Internet,Nonpartisan,None
2012-new-york-president-romney-vs-obama,58,36,4,2,15227,YouGov,2012-09-07,2012-09-14,Likely Voters,1403,Internet,Nonpartisan,None
2012-new-york-president-romney-vs-obama,62,34,2,1,14998,Quinnipiac,2012-09-04,2012-09-12,Likely Voters,1486,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,62,33,5,Not included in poll,14726,Siena,2012-08-14,2012-08-19,Likely Voters,671,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,55,32,10,2,14440,Quinnipiac,2012-07-17,2012-07-23,Registered Voters,1779,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,61,34,5,Not included in poll,14362,Siena,2012-07-10,2012-07-15,Registered Voters,758,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,59,35,6,Not included in poll,14068,Siena,2012-06-03,2012-06-06,Registered Voters,807,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,56,31,8,2,13968,Quinnipiac,2012-05-22,2012-05-28,Registered Voters,1504,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,57,37,6,Not included in poll,13797,Siena,2012-05-06,2012-05-10,Registered Voters,766,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,57,35,8,Not included in poll,13554,Marist,2012-04-10,2012-04-12,Registered Voters,632,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,60,35,5,Not included in poll,13492,Siena,2012-04-01,2012-04-04,Registered Voters,808,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,56,33,10,2,13439,Quinnipiac,2012-03-28,2012-04-02,Registered Voters,1597,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,60,34,6,Not included in poll,13321,Siena,2012-02-26,2012-02-29,Registered Voters,808,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,52,35,7,2,13146,Quinnipiac,2012-02-08,2012-02-13,Registered Voters,1233,Live Phone,Nonpartisan,None
2012-new-york-president-romney-vs-obama,63,31,6,Not included in poll,13322,Siena,2012-01-29,2012-02-01,Registered Voters,807,Live Phone,Nonpartisan,None
